years_experience,education_level,project_count,resume_length,github_activity,shortlisted
6,High School,10,410,339,Yes
8,Bachelors,8,564,360,Yes
4,Bachelors,4,391,252,No
6,Masters,8,409,308,Yes
4,High School,4,349,203,No
4,Bachelors,3,546,263,No
3,Bachelors,12,361,391,No
10,High School,12,605,394,Yes
7,Bachelors,16,605,502,Yes
14,Bachelors,19,705,617,Yes
3,Masters,13,576,333,No
11,Bachelors,9,779,374,Yes
9,Masters,13,838,416,Yes
12,Masters,14,683,463,Yes
12,Bachelors,16,742,449,Yes
3,Bachelors,7,582,135,Yes
7,PhD,10,403,204,Yes
13,High School,12,646,438,Yes
6,Bachelors,11,520,301,No
14,Bachelors,24,761,683,Yes
7,PhD,20,544,500,Yes
15,Bachelors,17,646,662,Yes
9,Masters,13,579,360,Yes
14,Masters,16,790,456,Yes
13,Masters,16,795,462,Yes
11,High School,11,671,357,Yes
12,Bachelors,24,669,625,Yes
13,Bachelors,19,653,573,Yes
4,Masters,7,671,121,Yes
12,Bachelors,20,756,620,Yes
15,High School,10,842,331,Yes
9,Masters,10,517,290,Yes
6,Bachelors,11,467,292,Yes
12,Masters,13,640,438,Yes
8,Bachelors,14,681,314,Yes
14,PhD,21,811,605,Yes
1,Bachelors,5,218,61,No
11,PhD,18,763,456,Yes
4,Masters,10,432,177,Yes
9,Masters,9,900,349,Yes
0,Masters,9,246,297,No
14,Bachelors,16,872,545,Yes
12,Bachelors,16,809,451,Yes
3,Bachelors,7,250,215,Yes
4,Masters,7,495,157,No
13,Masters,18,593,533,Yes
3,Masters,8,588,193,No
13,Masters,17,698,507,Yes
11,Masters,23,643,583,Yes
9,PhD,20,588,476,Yes
0,Masters,7,306,259,No
0,PhD,12,291,202,Yes
15,Bachelors,15,777,518,Yes
5,High School,10,442,354,No
14,PhD,20,671,515,Yes
6,Bachelors,15,480,419,Yes
13,Bachelors,7,545,253,Yes
2,High School,5,368,92,No
0,Bachelors,4,203,72,No
10,Masters,9,600,256,Yes
6,High School,6,614,256,No
8,Bachelors,13,590,535,Yes
4,Bachelors,10,265,270,No
6,Bachelors,9,586,266,Yes
12,Bachelors,13,862,495,Yes
13,PhD,14,645,410,Yes
3,Masters,5,321,176,No
2,Bachelors,3,640,189,No
8,Bachelors,14,561,374,Yes
12,Bachelors,5,824,255,Yes
5,Masters,8,635,171,No
4,Bachelors,6,526,99,No
15,Bachelors,19,782,601,Yes
4,High School,6,486,82,No
9,Masters,13,680,377,Yes
15,Bachelors,16,744,579,Yes
1,Bachelors,7,217,213,No
4,Bachelors,13,302,286,Yes
13,Bachelors,14,684,495,Yes
9,Masters,6,657,341,Yes
9,Masters,10,533,362,Yes
4,Bachelors,9,540,192,Yes
12,Bachelors,12,427,402,Yes
6,Masters,18,411,393,Yes
12,Masters,18,787,482,Yes
7,Bachelors,16,697,509,Yes
14,Masters,15,657,496,Yes
7,Masters,11,591,389,Yes
8,Bachelors,13,467,352,Yes
6,Bachelors,17,543,538,Yes
6,Masters,10,418,274,Yes
9,Masters,13,469,305,Yes
9,High School,8,811,336,No
6,Bachelors,11,394,346,Yes
7,Masters,13,688,500,Yes
14,Masters,14,448,407,Yes
0,Bachelors,5,490,133,No
1,Masters,6,522,221,No
6,Masters,5,462,145,No
15,Masters,17,900,660,Yes
3,Bachelors,8,365,187,Yes
8,Bachelors,7,900,242,No
2,Masters,8,318,151,Yes
1,Masters,3,255,163,No
3,Masters,8,497,250,Yes
3,Bachelors,7,396,278,Yes
9,PhD,22,489,619,Yes
15,PhD,21,816,701,Yes
15,Bachelors,15,750,489,Yes
8,Bachelors,10,563,327,Yes
7,Bachelors,9,546,327,Yes
12,Masters,16,739,474,Yes
3,Bachelors,12,448,278,Yes
15,Masters,13,698,487,Yes
9,High School,11,663,492,No
15,Masters,14,682,484,Yes
14,Masters,13,752,388,Yes
14,Bachelors,7,635,315,Yes
1,Bachelors,4,446,107,No
8,Masters,18,554,425,Yes
12,Masters,11,684,389,Yes
7,Masters,13,776,412,Yes
6,PhD,7,491,175,Yes
6,Bachelors,10,433,250,Yes
1,Bachelors,9,414,205,No
11,Masters,14,709,524,Yes
9,High School,5,591,198,Yes
1,Bachelors,8,589,171,No
8,Bachelors,8,407,264,Yes
8,Bachelors,9,595,259,Yes
4,Bachelors,5,542,189,No
14,Masters,18,808,530,Yes
4,Bachelors,9,479,335,No
12,Bachelors,12,544,426,Yes
8,Bachelors,5,709,354,No
13,Bachelors,14,846,576,Yes
1,Bachelors,7,516,118,No
14,Masters,11,795,436,Yes
15,Masters,19,529,655,Yes
15,Masters,13,702,448,Yes
7,Bachelors,18,563,568,Yes
14,High School,8,529,407,Yes
6,Masters,9,753,234,Yes
7,Bachelors,5,450,119,Yes
6,Bachelors,15,555,333,Yes
0,Masters,6,150,59,No
15,Bachelors,17,900,560,Yes
3,Bachelors,11,586,213,Yes
7,PhD,18,599,458,Yes
12,Bachelors,16,623,487,Yes
2,Masters,9,451,247,No
3,Bachelors,10,419,276,No
0,Bachelors,4,418,127,No
15,Masters,17,712,533,Yes
8,PhD,14,607,385,Yes
5,PhD,19,407,401,Yes
4,Masters,9,467,230,Yes
5,Bachelors,6,410,309,No
7,Masters,15,616,480,Yes
3,Bachelors,7,264,95,No
4,Bachelors,10,456,317,Yes
1,Masters,6,407,188,No
6,Bachelors,8,811,211,No
7,Masters,12,775,376,Yes
7,High School,10,466,348,No
15,PhD,17,821,584,Yes
6,Bachelors,8,792,246,Yes
3,Masters,7,435,0,No
13,Bachelors,13,835,492,Yes
13,Masters,8,706,327,Yes
14,Bachelors,10,728,472,Yes
13,Masters,25,784,740,Yes
12,Bachelors,17,682,452,Yes
5,Bachelors,8,551,298,No
11,Masters,17,708,478,Yes
12,Bachelors,23,709,710,Yes
15,Bachelors,13,700,571,Yes
8,Bachelors,11,780,324,Yes
5,Masters,7,839,280,No
6,High School,7,499,246,Yes
6,Bachelors,7,400,339,Yes
10,Bachelors,13,518,409,Yes
2,Bachelors,6,508,0,No
5,PhD,9,320,230,Yes
1,Bachelors,5,422,186,No
12,High School,15,900,450,Yes
7,High School,15,530,449,No
7,Masters,12,414,355,Yes
14,Bachelors,17,900,561,Yes
0,Bachelors,3,180,0,No
3,Masters,8,343,189,No
12,Bachelors,11,624,314,Yes
15,High School,15,790,524,Yes
12,Bachelors,11,900,437,Yes
12,Bachelors,17,750,563,Yes
3,High School,7,499,240,No
14,Bachelors,6,753,401,Yes
10,Bachelors,13,621,451,Yes
7,Masters,10,482,317,Yes
1,High School,8,367,152,No
7,Bachelors,7,714,331,Yes
4,Bachelors,9,699,210,No
14,Masters,20,859,601,Yes
4,Bachelors,6,599,145,No
10,Bachelors,18,702,489,Yes
2,Bachelors,6,333,138,No
13,High School,20,801,592,Yes
6,Bachelors,15,378,393,Yes
13,Bachelors,18,565,446,Yes
8,PhD,9,703,306,Yes
1,High School,4,383,92,No
0,Masters,2,385,1,No
1,Bachelors,4,285,112,No
4,Bachelors,8,537,303,No
6,Bachelors,8,821,221,Yes
15,High School,17,664,646,Yes
11,Bachelors,12,791,390,Yes
3,Bachelors,5,262,193,No
4,High School,5,463,198,No
4,Bachelors,6,445,173,Yes
13,Bachelors,14,747,490,Yes
6,Masters,10,422,249,Yes
12,Masters,14,693,413,Yes
0,Bachelors,6,150,1,No
0,Masters,5,322,107,No
3,Bachelors,4,384,113,No
6,Masters,11,660,291,Yes
7,High School,12,429,293,Yes
4,Bachelors,7,465,117,No
5,Bachelors,8,537,228,No
8,Bachelors,11,674,291,Yes
2,High School,0,620,33,No
12,PhD,11,771,355,Yes
13,Masters,20,722,602,Yes
1,Masters,6,150,145,No
7,Masters,14,552,311,Yes
11,Bachelors,14,500,536,Yes
11,PhD,17,782,457,Yes
9,Bachelors,11,551,373,Yes
10,Bachelors,14,633,516,Yes
14,High School,19,792,601,Yes
0,Bachelors,6,213,52,No
4,Masters,12,447,363,Yes
1,Masters,9,243,189,Yes
7,Bachelors,10,704,315,No
8,High School,8,750,358,Yes
12,Bachelors,7,735,331,Yes
13,Bachelors,17,595,623,Yes
2,Bachelors,6,729,247,No
10,PhD,7,823,299,Yes
5,Masters,11,359,248,No
10,Bachelors,12,605,403,Yes
14,Masters,17,766,481,Yes
0,High School,4,426,116,No
13,Bachelors,17,671,549,Yes
8,PhD,8,673,247,Yes
8,Masters,17,594,495,Yes
7,PhD,10,528,343,Yes
7,Bachelors,9,748,329,Yes
8,Bachelors,7,701,349,No
11,Bachelors,8,845,246,Yes
2,Bachelors,2,334,15,No
9,Masters,15,505,362,Yes
6,Bachelors,12,286,268,Yes
9,Masters,15,544,424,Yes
13,Bachelors,14,689,397,Yes
12,Bachelors,13,709,369,Yes
2,Masters,4,323,53,No
8,Bachelors,5,378,174,No
12,Masters,6,686,304,Yes
6,PhD,14,415,232,Yes
0,Masters,8,401,157,No
9,PhD,8,391,275,Yes
9,Bachelors,10,589,392,Yes
4,Bachelors,7,516,216,Yes
10,Bachelors,15,366,361,Yes
8,PhD,11,522,437,Yes
9,Bachelors,12,750,429,Yes
11,Bachelors,18,827,516,Yes
13,Bachelors,14,900,458,Yes
3,Bachelors,7,422,155,No
13,High School,9,801,468,Yes
7,Bachelors,13,554,380,Yes
3,Masters,9,379,298,No
9,Masters,10,503,279,Yes
0,Bachelors,6,537,126,No
6,High School,5,465,253,Yes
12,Bachelors,12,682,383,Yes
4,Bachelors,10,464,300,No
14,Masters,14,689,497,Yes
4,Masters,11,216,151,No
2,Masters,6,551,120,No
1,Masters,9,273,211,No
6,Masters,15,710,394,Yes
14,Bachelors,18,693,590,Yes
3,High School,4,323,173,No
3,Masters,13,469,324,Yes
12,Bachelors,22,597,650,Yes
3,Bachelors,6,309,202,No
6,Bachelors,7,613,213,Yes
14,Bachelors,13,875,555,Yes
2,PhD,5,414,124,No
1,Bachelors,3,242,23,No
10,Masters,13,696,456,Yes
4,Bachelors,11,486,236,Yes
0,High School,2,371,89,No
1,Bachelors,8,396,281,No
0,Bachelors,2,226,41,No
5,Masters,11,454,271,Yes
7,Bachelors,6,658,270,Yes
0,PhD,8,283,105,No
11,Bachelors,16,758,460,Yes
5,Bachelors,9,697,246,No
13,Bachelors,14,539,494,Yes
15,Bachelors,17,813,635,Yes
12,Bachelors,10,832,171,Yes
1,PhD,6,511,101,No
14,Bachelors,16,900,547,Yes
5,Masters,12,430,368,Yes
1,Bachelors,7,375,102,No
8,Bachelors,14,487,459,Yes
14,PhD,15,900,571,Yes
6,Bachelors,7,703,241,No
9,Masters,14,603,451,Yes
11,Bachelors,7,770,370,Yes
6,Bachelors,10,448,312,Yes
3,Masters,8,590,179,Yes
9,Bachelors,15,719,439,Yes
5,Masters,6,553,228,No
13,Masters,5,682,304,Yes
9,Bachelors,14,481,474,No
5,Masters,6,566,237,Yes
10,Bachelors,7,712,274,Yes
2,Bachelors,7,196,160,No
1,High School,5,499,179,No
8,Masters,10,478,278,Yes
6,Bachelors,2,490,155,No
15,Masters,13,838,457,Yes
1,Masters,5,164,125,No
10,Bachelors,9,618,324,Yes
3,Bachelors,4,589,169,No
8,PhD,8,685,315,Yes
11,Masters,11,703,390,Yes
14,Bachelors,18,594,603,Yes
5,Bachelors,4,410,235,No
5,Masters,11,447,282,Yes
15,High School,12,895,380,Yes
10,PhD,20,598,517,Yes
0,Masters,9,271,136,No
5,PhD,9,517,217,Yes
9,Masters,13,633,426,Yes
12,Bachelors,14,512,480,Yes
13,Bachelors,17,809,440,Yes
3,Bachelors,8,214,207,No
9,Bachelors,18,844,612,Yes
12,Bachelors,10,862,467,Yes
3,High School,3,524,69,No
5,PhD,12,617,394,Yes
1,Bachelors,6,475,69,No
4,Bachelors,8,725,275,Yes
12,Masters,6,551,289,Yes
0,Bachelors,6,150,0,No
1,Bachelors,7,155,127,No
3,Masters,6,420,119,No
8,Bachelors,10,468,372,Yes
2,Bachelors,8,472,263,No
7,Masters,8,713,245,Yes
13,Masters,12,836,388,Yes
15,Masters,19,743,501,Yes
15,Masters,20,877,644,Yes
5,Masters,16,314,441,Yes
14,High School,12,646,554,Yes
4,Bachelors,10,428,199,No
6,Bachelors,8,777,259,No
8,Bachelors,15,465,433,Yes
13,High School,12,749,298,Yes
14,High School,13,900,485,Yes
0,Bachelors,8,428,141,No
5,Bachelors,5,334,185,No
7,Masters,4,602,194,Yes
5,Bachelors,9,353,296,No
8,Bachelors,8,574,229,Yes
11,Bachelors,7,712,355,Yes
7,Bachelors,12,803,230,No
1,PhD,9,397,166,Yes
4,Bachelors,9,532,300,Yes
10,Masters,9,730,345,Yes
12,High School,7,508,392,Yes
11,Bachelors,14,583,375,Yes
15,Bachelors,12,875,417,Yes
7,PhD,15,599,363,Yes
0,Masters,8,339,54,No
4,PhD,8,381,252,Yes
0,PhD,9,433,278,Yes
5,Bachelors,9,464,192,Yes
5,Bachelors,11,330,297,Yes
9,Bachelors,4,691,174,Yes
14,Bachelors,14,743,591,Yes
15,Bachelors,8,900,449,Yes
14,Bachelors,12,621,374,Yes
4,Masters,10,499,327,Yes
6,Bachelors,8,335,264,Yes
10,Bachelors,10,658,440,Yes
12,Bachelors,11,741,461,Yes
14,Bachelors,10,900,368,Yes
7,Bachelors,9,560,326,Yes
10,Bachelors,9,614,296,Yes
2,Bachelors,5,226,180,No
15,Masters,16,743,576,Yes
4,Masters,10,371,183,No
3,Bachelors,9,432,178,No
14,Bachelors,18,803,594,Yes
1,Bachelors,12,362,319,Yes
15,Bachelors,13,719,576,Yes
8,Masters,17,738,446,Yes
10,PhD,14,633,395,Yes
1,Masters,10,403,242,Yes
1,Masters,4,455,51,No
9,Masters,8,667,288,Yes
5,Bachelors,12,504,377,Yes
11,Masters,7,599,295,Yes
8,Masters,5,674,189,Yes
1,Masters,4,285,103,No
8,Bachelors,8,296,356,Yes
6,Masters,8,800,155,No
3,High School,7,277,68,No
8,High School,9,433,358,No
9,Masters,9,809,259,No
14,Masters,10,789,400,Yes
1,Bachelors,3,318,102,No
14,Masters,16,736,536,Yes
10,Masters,9,633,320,Yes
12,Masters,8,820,424,Yes
14,PhD,15,840,562,Yes
10,Masters,12,561,385,Yes
2,Masters,7,484,169,Yes
13,PhD,17,615,451,Yes
11,PhD,9,545,327,Yes
4,Bachelors,8,368,186,Yes
7,Masters,4,578,264,Yes
3,Masters,6,328,76,No
14,Masters,18,652,628,Yes
1,Masters,7,390,174,No
8,Bachelors,10,633,368,Yes
13,Masters,12,726,458,Yes
3,Masters,11,523,206,Yes
3,Masters,4,287,243,Yes
8,Masters,14,489,449,Yes
1,Bachelors,5,169,225,No
0,Masters,5,285,64,No
7,Masters,9,650,296,Yes
7,Bachelors,13,545,364,Yes
1,High School,12,404,216,No
8,Masters,12,547,382,Yes
2,Bachelors,6,379,238,No
4,Masters,5,511,182,No
6,Bachelors,10,528,356,Yes
15,Bachelors,11,900,370,Yes
15,Bachelors,25,873,652,Yes
8,High School,9,652,275,Yes
1,Bachelors,5,502,128,No
1,PhD,6,440,38,No
10,Masters,14,352,498,Yes
7,Masters,13,483,300,Yes
8,PhD,10,688,432,Yes
5,Masters,7,462,194,No
2,Masters,10,257,247,Yes
8,Bachelors,9,662,291,Yes
9,Masters,15,653,328,Yes
5,Bachelors,9,496,170,Yes
6,Bachelors,16,713,337,Yes
1,PhD,8,547,221,No
11,Bachelors,10,677,327,Yes
15,Bachelors,17,780,674,Yes
15,PhD,20,900,743,Yes
13,Masters,15,535,551,Yes
13,Bachelors,17,786,458,Yes
1,Masters,3,376,62,No
4,Masters,12,673,271,Yes
3,Masters,7,177,114,No
0,Masters,2,349,20,No
15,Bachelors,12,808,443,Yes
14,Masters,16,817,541,Yes
3,Bachelors,10,566,241,Yes
10,PhD,19,485,533,Yes
8,High School,8,788,272,Yes
10,Bachelors,9,722,304,Yes
8,High School,9,677,282,Yes
11,Masters,17,733,545,Yes
3,Bachelors,6,649,245,Yes
11,Bachelors,13,806,357,Yes
2,Bachelors,7,203,210,No
12,Bachelors,16,755,482,Yes
0,Bachelors,4,592,42,No
14,Bachelors,13,835,488,Yes
11,Masters,16,785,428,Yes
0,Masters,6,358,41,No
6,Masters,9,357,186,Yes
14,Bachelors,9,875,337,Yes
10,Masters,13,680,449,Yes
11,Masters,24,682,702,Yes
3,Masters,8,488,223,Yes
8,Masters,10,635,229,Yes
5,Masters,12,499,307,Yes
11,PhD,19,900,602,Yes
7,Bachelors,11,552,289,Yes
10,Bachelors,10,433,242,Yes
4,Masters,5,439,183,No
7,High School,2,442,205,No
15,PhD,24,595,671,Yes
0,Bachelors,4,211,0,No
2,Bachelors,4,574,202,No
5,High School,5,432,23,No
7,Masters,12,531,289,Yes
14,Bachelors,9,764,354,Yes
2,Bachelors,7,571,146,Yes
0,PhD,5,184,155,No
15,Bachelors,11,888,417,Yes
15,Bachelors,13,891,442,Yes
7,Masters,12,831,360,No
3,Bachelors,7,253,223,No
0,Masters,8,152,138,No
13,Bachelors,12,761,428,Yes
6,Bachelors,10,530,295,Yes
10,High School,8,900,280,Yes
12,Masters,12,743,407,Yes
13,Masters,17,790,556,Yes
11,Masters,17,742,433,Yes
0,Bachelors,4,219,138,No
1,Masters,5,400,48,No
6,Bachelors,11,508,282,Yes
12,Masters,12,447,495,Yes
15,High School,17,656,563,Yes
5,Bachelors,7,613,166,Yes
11,Bachelors,13,685,417,Yes
7,Bachelors,16,592,366,Yes
13,Bachelors,16,611,565,Yes
5,Masters,7,344,219,Yes
2,Bachelors,9,539,215,No
7,Bachelors,12,673,366,Yes
13,Masters,18,571,467,Yes
6,Masters,6,590,321,Yes
5,Masters,6,453,163,Yes
7,Bachelors,7,800,332,No
8,Bachelors,13,802,398,No
13,Bachelors,14,846,405,Yes
7,Bachelors,4,685,170,No
11,Masters,13,792,437,Yes
14,Masters,9,654,429,Yes
1,Masters,8,392,156,No
4,Bachelors,3,457,289,Yes
3,PhD,12,541,237,Yes
8,Bachelors,10,664,274,Yes
5,High School,5,585,49,No
6,High School,4,482,163,No
2,Bachelors,10,593,214,Yes
3,Bachelors,11,426,228,Yes
13,Masters,19,829,542,Yes
14,Masters,19,611,579,Yes
9,Bachelors,14,460,509,Yes
12,Bachelors,11,900,528,Yes
14,Bachelors,15,872,479,Yes
5,Masters,7,428,169,No
15,Bachelors,18,819,537,Yes
15,Masters,20,900,717,Yes
10,Masters,9,816,269,Yes
4,Masters,12,395,330,Yes
14,High School,13,545,413,Yes
5,Masters,11,443,337,No
14,Bachelors,12,677,383,Yes
2,Masters,8,298,208,No
10,Masters,14,565,287,Yes
0,Masters,8,612,90,No
3,Bachelors,7,347,125,No
2,Bachelors,6,364,131,No
1,Masters,11,208,277,No
5,Masters,7,373,148,Yes
7,High School,4,463,278,No
9,Bachelors,9,853,287,No
5,Masters,8,450,203,Yes
2,Masters,12,604,350,Yes
8,Bachelors,12,727,345,Yes
1,PhD,5,419,95,No
5,Bachelors,13,391,362,Yes
6,Masters,15,480,297,Yes
8,Masters,11,277,301,Yes
3,PhD,9,457,218,Yes
9,Masters,6,594,311,No
13,High School,11,676,328,Yes
11,High School,17,510,423,Yes
6,PhD,6,450,210,Yes
6,Bachelors,11,404,419,Yes
3,Masters,8,262,234,No
14,Bachelors,11,606,397,Yes
15,Bachelors,19,900,532,Yes
1,Masters,3,403,118,No
5,Masters,8,435,273,Yes
15,Bachelors,14,810,552,Yes
13,Bachelors,11,675,328,Yes
9,Masters,7,580,218,Yes
12,Masters,12,795,481,Yes
15,Bachelors,15,763,588,Yes
7,Masters,13,396,474,Yes
6,Bachelors,7,480,145,Yes
4,Masters,7,517,210,Yes
3,PhD,7,284,171,No
4,High School,4,346,59,No
1,High School,4,335,71,No
1,Masters,6,591,243,Yes
14,Masters,15,900,481,Yes
3,Masters,16,408,253,Yes
0,Masters,4,339,88,No
10,PhD,9,708,317,Yes
14,Masters,17,705,460,Yes
15,Bachelors,14,900,504,Yes
8,Masters,8,846,314,Yes
3,Bachelors,6,412,302,No
11,Bachelors,17,882,572,Yes
10,PhD,13,704,362,Yes
4,Bachelors,7,478,206,No
13,Masters,25,745,764,Yes
12,Bachelors,13,868,528,Yes
14,Bachelors,13,715,550,Yes
13,Bachelors,22,705,577,Yes
9,Bachelors,12,691,406,Yes
10,Masters,13,709,397,Yes
5,PhD,9,495,224,Yes
8,Masters,20,671,500,Yes
2,Masters,5,535,228,No
3,Masters,7,344,220,No
0,Masters,6,420,230,Yes
5,Masters,12,411,341,Yes
6,Masters,15,416,404,Yes
0,PhD,10,155,215,Yes
11,High School,11,776,442,Yes
14,Bachelors,17,900,653,Yes
3,Bachelors,6,483,238,No
2,Bachelors,7,475,204,Yes
2,Masters,7,658,261,No
5,Masters,12,543,257,Yes
4,High School,7,324,170,No
12,PhD,18,850,540,Yes
8,Bachelors,14,659,354,Yes
7,Bachelors,10,580,289,Yes
14,High School,10,788,453,Yes
3,Bachelors,3,295,178,No
3,Bachelors,7,358,118,Yes
13,Bachelors,12,772,504,Yes
11,Masters,20,618,517,Yes
3,Masters,6,480,128,Yes
6,Bachelors,11,633,332,Yes
6,Bachelors,12,492,355,Yes
9,Bachelors,10,758,376,Yes
3,Bachelors,10,441,278,Yes
3,Masters,9,440,111,Yes
4,Bachelors,12,555,255,No
1,Masters,8,226,203,No
15,Bachelors,19,900,656,Yes
3,Bachelors,5,304,122,No
11,Masters,9,783,262,Yes
3,Bachelors,11,422,283,Yes
12,Masters,15,789,442,Yes
12,PhD,12,565,381,Yes
3,Bachelors,3,426,155,No
8,Masters,6,614,185,Yes
0,Bachelors,7,393,229,No
13,Masters,15,877,488,Yes
5,Masters,11,334,298,Yes
10,Bachelors,19,625,474,Yes
1,Bachelors,6,338,28,No
6,PhD,5,576,154,No
2,Masters,10,471,230,No
13,Masters,16,573,452,Yes
5,Bachelors,7,437,212,No
6,Masters,13,550,415,Yes
14,Masters,25,882,717,Yes
13,PhD,11,662,396,Yes
5,Masters,11,313,356,Yes
9,Masters,12,463,309,Yes
3,PhD,3,405,96,Yes
10,Bachelors,10,587,262,Yes
3,Bachelors,8,543,243,No
0,Masters,6,654,130,No
9,Bachelors,11,787,352,Yes
0,Bachelors,7,444,165,No
1,Masters,8,362,106,No
12,Bachelors,9,900,318,Yes
12,Bachelors,18,854,575,Yes
2,Bachelors,6,323,236,No
0,Bachelors,4,166,147,No
2,High School,2,425,109,No
0,PhD,4,515,4,No
2,Bachelors,2,477,79,No
9,PhD,17,689,480,Yes
1,Bachelors,2,422,0,No
13,Bachelors,12,829,460,Yes
6,Masters,8,478,168,Yes
15,Masters,24,701,605,Yes
10,Bachelors,12,625,302,Yes
5,PhD,8,342,135,No
13,Bachelors,16,804,495,Yes
8,PhD,9,508,346,Yes
12,PhD,11,900,363,Yes
4,Bachelors,4,530,45,No
15,Masters,20,763,524,Yes
11,Bachelors,17,679,510,Yes
10,Masters,7,739,220,Yes
11,Bachelors,10,900,379,Yes
5,Bachelors,9,696,299,Yes
5,Bachelors,15,604,473,Yes
7,Masters,9,460,323,Yes
9,Bachelors,10,783,361,Yes
4,Bachelors,7,510,220,Yes
3,High School,2,394,33,No
2,Bachelors,4,501,136,No
7,Masters,9,540,349,Yes
0,Bachelors,8,665,182,No
5,Bachelors,6,408,172,Yes
14,High School,13,779,379,Yes
0,Bachelors,3,370,198,No
14,High School,11,688,486,Yes
1,PhD,2,390,2,No
0,Masters,2,443,62,No
8,Masters,8,744,274,Yes
9,High School,11,758,551,Yes
15,Bachelors,19,698,596,Yes
3,Masters,7,412,191,No
9,Bachelors,13,552,451,Yes
12,PhD,13,560,433,Yes
13,Bachelors,14,747,446,Yes
15,Masters,18,707,602,Yes
2,Bachelors,5,623,193,No
14,PhD,16,676,521,Yes
1,Bachelors,5,570,202,No
3,Bachelors,7,400,184,No
13,Bachelors,13,900,523,Yes
3,Bachelors,13,732,316,No
9,Masters,19,542,425,Yes
7,Bachelors,13,388,304,Yes
4,Masters,4,652,223,Yes
2,Bachelors,11,457,210,No
2,Masters,7,333,144,No
11,Bachelors,15,481,477,Yes
6,Masters,10,645,382,Yes
8,Masters,12,561,254,Yes
5,Bachelors,11,283,233,No
3,Masters,6,632,184,No
3,Bachelors,5,493,182,No
14,Masters,11,858,432,Yes
5,High School,8,549,141,No
15,Bachelors,8,900,344,Yes
10,Masters,14,900,447,Yes
4,Bachelors,11,480,249,Yes
3,Bachelors,7,366,299,No
15,Bachelors,25,781,594,Yes
0,Bachelors,1,361,94,No
5,Bachelors,10,600,206,Yes
5,Masters,5,507,229,Yes
3,Bachelors,2,390,110,No
11,Masters,14,703,485,Yes
0,Bachelors,2,444,35,No
1,High School,4,505,69,No
3,Masters,11,426,243,No
2,Bachelors,6,237,111,No
11,Masters,11,517,403,Yes
0,High School,4,237,44,No
13,Masters,15,541,436,Yes
0,High School,6,408,70,No
1,Bachelors,9,509,241,No
15,Masters,17,879,570,Yes
15,Bachelors,17,819,568,Yes
10,Bachelors,17,698,505,Yes
8,High School,3,645,109,No
14,Bachelors,15,826,470,Yes
8,Masters,17,422,456,Yes
2,Masters,5,479,191,No
13,PhD,12,802,318,Yes
9,Masters,10,319,342,Yes
15,High School,23,755,716,Yes
14,Bachelors,22,720,625,Yes
9,High School,16,573,373,Yes
11,Masters,14,583,378,Yes
4,Bachelors,7,239,194,No
7,PhD,10,438,313,Yes
2,Masters,4,644,131,No
7,Masters,10,683,289,Yes
7,Masters,15,423,526,Yes
9,Masters,21,514,599,Yes
14,Masters,10,900,366,Yes
8,Bachelors,9,491,335,Yes
12,Bachelors,20,725,709,Yes
14,Masters,25,852,598,Yes
